# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1.00614e-07     	DILUPBiCGStab	9.99999810e-01	3.01764200e-07	2	1.00000000e+00	3.84077110e-07	2	false	DILUPBiCGStab	9.99999770e-01	1.94259130e-07	2	true	DILUPBiCGStab	1.00000000e+00	3.38727350e-08	2	true	DILUPBiCGStab	5.36096800e-03	2.03207900e-08	1	true	GAMG	1.00000000e+00	1.12717300e-03	2	true
2.13088e-07     	DILUPBiCGStab	8.79166780e-03	8.21533850e-08	1	7.03988600e-01	2.79748490e-08	2	false	DILUPBiCGStab	9.59949900e-03	1.66534110e-07	1	true	DILUPBiCGStab	5.40133910e-04	2.40743800e-07	1	true	DILUPBiCGStab	5.45802460e-04	2.08932140e-07	1	true	GAMG	5.69002380e-01	5.17691050e-03	2	true
2.75559e-07     	DILUPBiCGStab	6.70374580e-04	3.67815860e-07	1	4.67844630e-02	2.22599920e-08	1	false	DILUPBiCGStab	9.46346910e-04	5.46971890e-07	1	true	DILUPBiCGStab	2.29449700e-04	3.93451440e-08	1	true	DILUPBiCGStab	1.09533910e-04	2.95210430e-08	1	true	GAMG	6.91115350e-03	5.13331520e-05	2	true
3.50524e-07     	DILUPBiCGStab	4.98385160e-04	1.83441020e-07	1	5.07024370e-02	1.52719550e-08	1	false	DILUPBiCGStab	9.78728170e-04	4.94198060e-07	1	true	DILUPBiCGStab	2.67563000e-04	5.45984560e-08	1	true	DILUPBiCGStab	8.95520690e-05	1.75810760e-08	1	true	GAMG	1.01303650e-02	8.79075600e-05	2	true
4.40485e-07     	DILUPBiCGStab	5.40813790e-04	2.42442990e-07	1	7.04866700e-02	3.44313650e-08	1	false	DILUPBiCGStab	1.06805270e-03	7.67327970e-07	1	true	DILUPBiCGStab	5.37740940e-04	2.87042590e-07	1	true	DILUPBiCGStab	7.37699970e-05	1.26773040e-08	1	true	GAMG	2.09232710e-02	1.54259920e-04	2	true
5.4844e-07      	DILUPBiCGStab	5.76845410e-04	7.00494700e-07	1	8.16932610e-02	2.45286030e-07	1	false	DILUPBiCGStab	1.19578250e-03	1.10365410e-08	1	true	DILUPBiCGStab	1.55458100e-03	2.38132780e-09	1	true	DILUPBiCGStab	6.13788230e-05	1.35738790e-08	1	true	GAMG	7.87957440e-02	6.55598580e-04	2	true
6.77987e-07     	DILUPBiCGStab	5.98461310e-04	1.92897280e-08	1	8.58050210e-02	7.69373550e-09	2	false	DILUPBiCGStab	1.38114240e-03	1.00087470e-07	1	true	DILUPBiCGStab	3.09830650e-03	1.39665740e-08	1	true	DILUPBiCGStab	5.14287910e-05	1.66873810e-08	1	true	GAMG	5.18638830e-02	4.37877470e-04	2	true
8.33451e-07     	DILUPBiCGStab	6.32561350e-04	9.45432910e-08	1	8.82153020e-02	5.72101260e-08	2	false	DILUPBiCGStab	1.56430420e-03	4.98254770e-07	1	true	DILUPBiCGStab	3.93622720e-03	5.07196040e-08	1	true	DILUPBiCGStab	4.45560510e-05	2.03465130e-08	1	true	GAMG	3.07378180e-02	2.32052530e-04	2	true
1.02e-06        	DILUPBiCGStab	6.86406440e-04	2.79499250e-07	1	8.93288860e-02	3.31278660e-07	2	false	DILUPBiCGStab	1.83718950e-03	2.27912210e-08	2	true	DILUPBiCGStab	4.03954040e-03	2.19643980e-07	1	true	DILUPBiCGStab	3.85681150e-05	2.45879150e-08	1	true	GAMG	2.41962940e-02	1.47751150e-04	2	true
1.24384e-06     	DILUPBiCGStab	7.49948830e-04	6.54737540e-07	1	9.03915560e-02	2.94729920e-08	2	false	DILUPBiCGStab	2.16554590e-03	1.38001410e-07	2	true	DILUPBiCGStab	3.79302870e-03	6.04259580e-07	1	true	DILUPBiCGStab	3.30055170e-05	2.93474200e-08	1	true	GAMG	2.10039300e-02	1.22282080e-04	2	true
1.51247e-06     	DILUPBiCGStab	8.30972830e-04	5.12767650e-08	2	9.15473440e-02	1.74046250e-07	2	false	DILUPBiCGStab	2.58126820e-03	5.86840370e-07	2	true	DILUPBiCGStab	3.51790810e-03	1.77524200e-08	2	true	DILUPBiCGStab	2.86145830e-05	3.58545800e-08	1	true	GAMG	2.10362960e-02	1.33758650e-04	2	true
1.83477e-06     	DILUPBiCGStab	9.24448950e-04	1.55610180e-07	2	9.20823960e-02	5.80461290e-07	2	false	DILUPBiCGStab	3.10461170e-03	9.81920880e-08	2	true	DILUPBiCGStab	3.27487980e-03	4.81755260e-08	2	true	DILUPBiCGStab	2.55948330e-05	4.41610820e-08	1	true	GAMG	2.38614520e-02	1.67887540e-04	2	true
2.2215e-06      	DILUPBiCGStab	1.05012700e-03	3.34100670e-07	2	9.23513170e-02	9.22011920e-08	3	false	DILUPBiCGStab	3.67625030e-03	2.69015500e-07	2	true	DILUPBiCGStab	3.06914250e-03	9.52904510e-08	2	true	DILUPBiCGStab	2.27409230e-05	5.40333950e-08	1	true	GAMG	2.95987490e-02	1.77904260e-04	2	true
2.68558e-06     	DILUPBiCGStab	1.21720190e-03	6.53929940e-07	2	9.23522240e-02	2.79342410e-07	3	false	DILUPBiCGStab	4.32437280e-03	7.46273160e-07	2	true	DILUPBiCGStab	2.90715220e-03	1.52055860e-07	2	true	DILUPBiCGStab	2.06231580e-05	6.56530370e-08	1	true	GAMG	3.69596440e-02	1.95171830e-04	2	true
3.24243e-06     	DILUPBiCGStab	1.42364570e-03	1.38696050e-07	2	9.23796780e-02	6.52844620e-07	3	false	DILUPBiCGStab	5.12990530e-03	2.24997070e-07	3	true	DILUPBiCGStab	2.75786710e-03	2.20804280e-07	2	true	DILUPBiCGStab	1.89153850e-05	7.94460470e-08	1	true	GAMG	4.31406850e-02	2.11613330e-04	2	true
3.9105e-06      	DILUPBiCGStab	1.66894540e-03	2.73566950e-07	2	9.29977600e-02	1.96345560e-07	3	false	DILUPBiCGStab	6.18004970e-03	5.06851410e-07	3	true	DILUPBiCGStab	2.62875950e-03	2.89547220e-07	2	true	DILUPBiCGStab	1.75454640e-05	9.79000370e-08	1	true	GAMG	4.73729390e-02	2.16236670e-04	2	true
4.71186e-06     	DILUPBiCGStab	1.96961320e-03	4.63053410e-07	2	9.30116390e-02	3.91869190e-07	3	false	DILUPBiCGStab	7.52328650e-03	8.06056480e-07	3	true	DILUPBiCGStab	2.49179050e-03	3.43225720e-07	2	true	DILUPBiCGStab	1.63978600e-05	1.25138980e-07	1	true	GAMG	5.16518850e-02	2.47031580e-04	2	true
5.67349e-06     	DILUPBiCGStab	2.33773340e-03	6.40427940e-07	2	9.15457650e-02	6.06639430e-07	3	false	DILUPBiCGStab	9.18898060e-03	3.74214760e-07	3	true	DILUPBiCGStab	2.34822230e-03	5.02086200e-07	2	true	DILUPBiCGStab	1.53569820e-05	1.55243520e-07	1	true	GAMG	5.81161770e-02	3.02091240e-04	2	true
6.81639e-06     	DILUPBiCGStab	2.76031270e-03	1.84959880e-07	3	8.96056300e-02	2.10025130e-07	4	false	DILUPBiCGStab	1.11276650e-02	1.65086820e-07	4	true	DILUPBiCGStab	2.22537130e-03	7.94918520e-08	2	true	DILUPBiCGStab	1.45656560e-05	1.90213870e-07	1	true	GAMG	6.72486720e-02	3.95042940e-04	2	true
