# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 5.14718807e+01
# lRef          : 1.16975207e-02
# Aref          : 1.16975207e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.0200007       	9.31057517e-01	-8.61451925e+00	9.54557677e+00	2.12428098e-01	1.06676680e-01	1.05751418e-01	4.62631191e-04	-9.08004801e+00	3.97972162e+01	-1.69290122e-21	3.97972162e+01	-3.97972162e+01
0.0200014       	9.31089743e-01	-8.61804853e+00	9.54913827e+00	2.12511043e-01	1.06715997e-01	1.05795046e-01	4.60475680e-04	-9.08359340e+00	3.97985937e+01	-1.69776888e-21	3.97985937e+01	-3.97985937e+01
0.0200021       	9.31100862e-01	-8.61489672e+00	9.54599758e+00	2.12437436e-01	1.06676505e-01	1.05760931e-01	4.57786628e-04	-9.08044715e+00	3.97990689e+01	-1.38305523e-21	3.97990689e+01	-3.97990689e+01
0.0200027       	9.31111665e-01	-8.61035321e+00	9.54146487e+00	2.12331267e-01	1.06622492e-01	1.05708775e-01	4.56858475e-04	-9.07590904e+00	3.97995307e+01	-2.00899147e-21	3.97995307e+01	-3.97995307e+01
0.0200034       	9.31131206e-01	-8.60559115e+00	9.53672236e+00	2.12220087e-01	1.06567303e-01	1.05652784e-01	4.57259555e-04	-9.07115676e+00	3.98003660e+01	-2.51916933e-21	3.98003660e+01	-3.98003660e+01
0.0200041       	9.31141032e-01	-8.60553712e+00	9.53667815e+00	2.12218938e-01	1.06567216e-01	1.05651722e-01	4.57746999e-04	-9.07110764e+00	3.98007860e+01	-2.87774382e-21	3.98007860e+01	-3.98007860e+01
0.0200048       	9.31143194e-01	-8.60868966e+00	9.53983285e+00	2.12292717e-01	1.06604794e-01	1.05687923e-01	4.58435408e-04	-9.07426126e+00	3.98008784e+01	-3.66110235e-21	3.98008784e+01	-3.98008784e+01
0.0200055       	9.31148102e-01	-8.61279482e+00	9.54394292e+00	2.12388815e-01	1.06653571e-01	1.05735243e-01	4.59163951e-04	-9.07836887e+00	3.98010882e+01	-4.01149507e-21	3.98010882e+01	-3.98010882e+01
0.0200062       	9.31162031e-01	-8.61389310e+00	9.54505513e+00	2.12414672e-01	1.06666949e-01	1.05747722e-01	4.59613486e-04	-9.07947411e+00	3.98016835e+01	-3.88996759e-21	3.98016835e+01	-3.98016835e+01
0.0200069       	9.31157088e-01	-8.61602170e+00	9.54717879e+00	2.12464413e-01	1.06691694e-01	1.05772718e-01	4.59487958e-04	-9.08160024e+00	3.98014723e+01	-3.92874799e-21	3.98014723e+01	-3.98014723e+01
