# y+ ()         
# Time          	patch           	min             	max             	average         
0.1             	Freestream	1.60171350e+01	1.64696680e+02	1.23923237e+02
0.1             	Botwall	1.88971881e+00	2.30708558e+01	1.04432400e+01
0.1             	Cyli	2.60375059e+00	5.05285882e+01	3.04362919e+01
