# y+ ()         
# Time          	patch           	min             	max             	average         
3.1             	Botwall	9.68797030e+01	1.68267958e+03	3.60014015e+02
3.1             	Cyli	6.89430629e+02	3.07921415e+03	2.16150354e+03
