# y+ ()         
# Time          	patch           	min             	max             	average         
0.1             	Botwall	1.42726627e+00	2.93838248e+01	1.31925726e+01
0.1             	Cyli	2.92233425e+00	6.14944181e+01	3.75021377e+01
