# y+ ()         
# Time          	patch           	min             	max             	average         
0.047           	Botwall	1.03931932e-01	1.87028830e+00	1.09012427e+00
0.047           	Cyli	2.28038065e-02	1.55856054e+00	6.30519552e-01
