# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 5.14718807e+01
# lRef          : 1.16975207e-02
# Aref          : 1.16975207e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1.00614e-07     	6.39048344e+01	2.06974707e+01	4.32073637e+01	2.63309939e-01	1.10760103e-01	1.52549836e-01	-2.08948667e-02	-1.12549465e+01	2.73155467e+03	-3.10413955e-20	2.73155467e+03	-2.73155467e+03
2.13088e-07     	4.54183426e+01	2.86395055e+01	1.67788371e+01	-1.38740413e-01	-8.22559331e-02	-5.64844799e-02	-1.28857266e-02	5.93033417e+00	1.94136621e+03	-2.19843779e-20	1.94136621e+03	-1.94136621e+03
2.7594e-07      	3.08852888e+01	1.47575096e+01	1.61277792e+01	1.60287575e-02	-1.61102466e-03	1.76397822e-02	-9.62540341e-03	-6.85134824e-01	1.32016389e+03	-2.44170881e-20	1.32016389e+03	-1.32016389e+03
3.51363e-07     	2.59829961e+01	1.16400589e+01	1.43429371e+01	3.16169736e-02	9.30046978e-03	2.23165038e-02	-6.50801701e-03	-1.35143910e+00	1.11061980e+03	-2.46416426e-20	1.11061980e+03	-1.11061980e+03
4.4187e-07      	2.44931964e+01	1.18240039e+01	1.26691926e+01	9.88661176e-03	1.00648326e-03	8.88012850e-03	-3.93682262e-03	-4.22594328e-01	1.04693965e+03	-2.34534619e-20	1.04693965e+03	-1.04693965e+03
5.50482e-07     	2.48109017e+01	1.22785661e+01	1.25323356e+01	2.96847458e-03	-3.81109907e-04	3.34958449e-03	-1.86534720e-03	-1.26884776e-01	1.06051968e+03	-2.21360063e-20	1.06051968e+03	-1.06051968e+03
6.80822e-07     	2.52386041e+01	1.25826564e+01	1.26559477e+01	8.57325617e-04	7.51940910e-05	7.82131526e-04	-3.53468718e-04	-3.66456125e-02	1.07880143e+03	-2.10539007e-20	1.07880143e+03	-1.07880143e+03
8.37235e-07     	2.55031468e+01	1.27507190e+01	1.27524278e+01	1.99882137e-05	6.18262540e-04	-5.98274326e-04	6.08268433e-04	-8.54378216e-04	1.09010907e+03	-1.96426719e-20	1.09010907e+03	-1.09010907e+03
1.02494e-06     	2.56518337e+01	1.28377622e+01	1.28140715e+01	-2.77122819e-04	9.50116970e-04	-1.22723979e-03	1.08867838e-03	1.18453657e-02	1.09646456e+03	-1.82311717e-20	1.09646456e+03	-1.09646456e+03
1.25019e-06     	2.56818907e+01	1.29087798e+01	1.27731109e+01	-1.58698959e-03	4.11803018e-04	-1.99879261e-03	1.20529781e-03	6.78344427e-02	1.09774932e+03	-1.63014845e-20	1.09774932e+03	-1.09774932e+03
1.52049e-06     	2.54499390e+01	1.27707549e+01	1.26791840e+01	-1.07115252e-03	5.59192889e-04	-1.63034541e-03	1.09476915e-03	4.57854510e-02	1.08783475e+03	-1.48456722e-20	1.08783475e+03	-1.08783475e+03
1.84488e-06     	2.49368948e+01	1.24336158e+01	1.25032789e+01	8.14886027e-04	1.29018232e-03	-4.75296289e-04	8.82739302e-04	-3.48315703e-02	1.06590514e+03	-1.24328197e-20	1.06590514e+03	-1.06590514e+03
2.23418e-06     	2.42801694e+01	1.21483042e+01	1.21318652e+01	-1.92295692e-04	5.68191559e-04	-7.60487251e-04	6.64339405e-04	8.21950640e-03	1.03783401e+03	-9.60615202e-21	1.03783401e+03	-1.03783401e+03
2.70129e-06     	2.35728160e+01	1.19099207e+01	1.16628953e+01	-2.88958436e-03	-9.63096729e-04	-1.92648763e-03	4.81695451e-04	1.23512685e-01	1.00759882e+03	-6.26526798e-21	1.00759882e+03	-1.00759882e+03
3.26189e-06     	2.28509712e+01	1.15620941e+01	1.12888771e+01	-3.19596158e-03	-1.25281154e-03	-1.94315004e-03	3.45169249e-04	1.36608504e-01	9.76744212e+02	-4.88382334e-21	9.76744212e+02	-9.76744212e+02
3.93445e-06     	2.21148981e+01	1.11354477e+01	1.09794504e+01	-1.82478198e-03	-6.62468993e-04	-1.16231299e-03	2.49921997e-04	7.79986646e-02	9.45281429e+02	-3.23054473e-21	9.45281429e+02	-9.45281429e+02
4.74164e-06     	2.13309335e+01	1.06946614e+01	1.06362720e+01	-6.83011501e-04	-1.56578518e-04	-5.26432983e-04	1.84927233e-04	2.91947123e-02	9.11771566e+02	-1.59687921e-21	9.11771566e+02	-9.11771566e+02
5.70979e-06     	2.04838455e+01	1.02335380e+01	1.02503075e+01	1.96160796e-04	2.38409076e-04	-4.22482798e-05	1.40328678e-04	-8.38471680e-03	8.75563553e+02	1.11888708e-21	8.75563553e+02	-8.75563553e+02
6.85926e-06     	1.95986226e+01	9.77382700e+00	9.82479562e+00	5.96206482e-04	4.06883455e-04	1.89323027e-04	1.08780214e-04	-2.54843099e-02	8.37725497e+02	2.99320805e-21	8.37725497e+02	-8.37725497e+02
8.19412e-06     	1.86682283e+01	9.37323824e+00	9.29499006e+00	-9.15309601e-04	-3.72411250e-04	-5.42898352e-04	8.52435510e-05	3.91240857e-02	7.97956629e+02	4.53692877e-21	7.97956629e+02	-7.97956629e+02
9.71998e-06     	1.76181712e+01	8.90130262e+00	8.71686859e+00	-2.15742083e-03	-1.01357154e-03	-1.14384929e-03	6.51388752e-05	9.22170130e-02	7.53072883e+02	5.58138579e-21	7.53072883e+02	-7.53072883e+02
1.14422e-05     	1.64211489e+01	8.23549386e+00	8.18565502e+00	-5.82990929e-04	-2.43344822e-04	-3.39646107e-04	4.81506426e-05	2.49194229e-02	7.01907240e+02	6.75482424e-21	7.01907240e+02	-7.01907240e+02
1.33655e-05     	1.51682431e+01	7.63524929e+00	7.53299383e+00	-1.19613540e-03	-5.63271943e-04	-6.32863452e-04	3.47957544e-05	5.11277317e-02	6.48352910e+02	7.83743512e-21	6.48352910e+02	-6.48352910e+02
1.53873e-05     	1.40112944e+01	7.24871182e+00	6.76258258e+00	-5.68650676e-03	-2.81792212e-03	-2.86858464e-03	2.53312605e-05	2.43064617e-01	5.98900178e+02	8.73227613e-21	5.98900178e+02	-5.98900178e+02
1.7337e-05      	1.29964004e+01	6.79363382e+00	6.20276659e+00	-6.91168164e-03	-3.43558709e-03	-3.47609455e-03	2.02537277e-05	2.95433616e-01	5.55519447e+02	9.49436321e-21	5.55519447e+02	-5.55519447e+02
1.92195e-05     	1.20689502e+01	6.14939490e+00	5.91955527e+00	-2.68855381e-03	-1.32592510e-03	-1.36262871e-03	1.83518021e-05	1.14919815e-01	5.15876420e+02	9.58439715e-21	5.15876420e+02	-5.15876420e+02
2.10596e-05     	1.12225655e+01	5.26309637e+00	5.95946916e+00	8.14583517e-03	4.09022950e-03	4.05560567e-03	1.73119140e-05	-3.48186398e-01	4.79698470e+02	8.47782696e-21	4.79698470e+02	-4.79698470e+02
2.28427e-05     	1.04839885e+01	3.92897798e+00	6.55501054e+00	3.07180701e-02	1.53760538e-02	1.53420163e-02	1.70187108e-05	-1.31301628e+00	4.48128660e+02	5.17468364e-21	4.48128660e+02	-4.48128660e+02
2.45877e-05     	9.85593038e+00	1.91514160e+00	7.94078878e+00	7.04851323e-02	3.52607639e-02	3.52243684e-02	1.81977785e-05	-3.01282359e+00	4.21282880e+02	3.35393102e-21	4.21282880e+02	-4.21282880e+02
2.6308e-05      	9.33455742e+00	-7.94249498e-01	1.01288069e+01	1.27772678e-01	6.39061112e-02	6.38665668e-02	1.97721980e-05	-5.46152821e+00	3.98997262e+02	6.42842273e-21	3.98997262e+02	-3.98997262e+02
2.79896e-05     	8.91707333e+00	-3.88065221e+00	1.27977255e+01	1.95095668e-01	9.75695450e-02	9.75261232e-02	2.17109189e-05	-8.33918887e+00	3.81152280e+02	8.83086824e-21	3.81152280e+02	-3.81152280e+02
2.9626e-05      	8.58927085e+00	-6.81778100e+00	1.54070519e+01	2.59975441e-01	1.30006557e-01	1.29968884e-01	1.88361989e-05	-1.11124164e+01	3.67140658e+02	5.15376300e-21	3.67140658e+02	-3.67140658e+02
3.12247e-05     	8.32940592e+00	-9.07596264e+00	1.74053686e+01	3.09765919e-01	1.54897890e-01	1.54868028e-01	1.49311231e-05	-1.32406656e+01	3.56032965e+02	5.83072740e-21	3.56032965e+02	-3.56032965e+02
3.27872e-05     	8.12015486e+00	-1.01921679e+01	1.83123228e+01	3.33431869e-01	1.66725668e-01	1.66706201e-01	9.73314893e-06	-1.42522454e+01	3.47088717e+02	6.26679725e-21	3.47088717e+02	-3.47088717e+02
3.43176e-05     	7.94877095e+00	-1.00012477e+01	1.79500187e+01	3.26960516e-01	1.63481661e-01	1.63478855e-01	1.40338693e-06	-1.39756332e+01	3.39763065e+02	4.69325455e-21	3.39763065e+02	-3.39763065e+02
3.58241e-05     	7.80594884e+00	-8.71107117e+00	1.65170200e+01	2.95106117e-01	1.47547032e-01	1.47559085e-01	-6.02654436e-06	-1.26140456e+01	3.33658263e+02	3.48520989e-21	3.33658263e+02	-3.33658263e+02
3.73167e-05     	7.68473255e+00	-6.72125412e+00	1.44059867e+01	2.47136336e-01	1.23554116e-01	1.23582220e-01	-1.40521345e-05	-1.05636204e+01	3.28476982e+02	7.99860922e-22	3.28476982e+02	-3.28476982e+02
3.87977e-05     	7.57936521e+00	-4.34373130e+00	1.19230965e+01	1.90281554e-01	9.51202581e-02	9.51612962e-02	-2.05190377e-05	-8.13341390e+00	3.23973149e+02	8.30983959e-22	3.23973149e+02	-3.23973149e+02
4.0263e-05      	7.48395442e+00	-1.68325158e+00	9.16720600e+00	1.26923452e-01	6.34360635e-02	6.34873882e-02	-2.56623908e-05	-5.42522879e+00	3.19894901e+02	3.45560594e-21	3.19894901e+02	-3.19894901e+02
4.17237e-05     	7.39456328e+00	1.19911708e+00	6.19544619e+00	5.84446630e-02	2.91955262e-02	2.92491368e-02	-2.68052984e-05	-2.49816456e+00	3.16073957e+02	2.45191561e-21	3.16073957e+02	-3.16073957e+02
4.31757e-05     	7.31012403e+00	4.18066516e+00	3.12945887e+00	-1.22965073e-02	-6.17326372e-03	-6.12324354e-03	-2.50100914e-05	5.25603144e-01	3.12464677e+02	5.78668593e-21	3.12464677e+02	-3.12464677e+02
4.4621e-05      	7.22805695e+00	7.13458373e+00	9.34732169e-02	-8.23635357e-02	-4.12030301e-02	-4.11605055e-02	-2.12623177e-05	3.52055526e+00	3.08956793e+02	5.42102564e-21	3.08956793e+02	-3.08956793e+02
4.60555e-05     	7.14540785e+00	9.90898624e+00	-2.76357839e+00	-1.48237586e-01	-7.41309169e-02	-7.41066695e-02	-1.21236892e-05	6.33628231e+00	3.05424032e+02	6.52715374e-21	3.05424032e+02	-3.05424032e+02
4.74836e-05     	7.06039793e+00	1.23940542e+01	-5.33365627e+00	-2.07370259e-01	-1.03685188e-01	-1.03685071e-01	-5.83478358e-08	8.86385524e+00	3.01790360e+02	5.83290142e-21	3.01790360e+02	-3.01790360e+02
4.89031e-05     	6.97430214e+00	1.44952757e+01	-7.52097356e+00	-2.57535530e-01	-1.28755911e-01	-1.28779620e-01	1.18545803e-05	1.10081246e+01	2.98110273e+02	7.70275019e-21	2.98110273e+02	-2.98110273e+02
5.03185e-05     	6.88762124e+00	1.61994233e+01	-9.31180209e+00	-2.98418086e-01	-1.49182491e-01	-1.49235595e-01	2.65518906e-05	1.27556127e+01	2.94405175e+02	6.21915562e-21	2.94405175e+02	-2.94405175e+02
